Title,URL 
Wildlife  Three endangered Sumatran tigers found dead in traps in Indonesia , https://www.theguardian.com/world/2022/apr/26/three-endangered-sumatran-tigers-found-dead-in-traps-in-indonesia 
Johnny Depp  Actor warns Amber Heard of violence in recording played in court , https://www.theguardian.com/film/2022/apr/25/johnny-depp-amber-heard-defamation-trial-court-latest 
Uber  Australia levies $26m fine over misleading cancellation fees and taxi fare estimates , https://www.theguardian.com/australia-news/2022/apr/26/uber-faces-26m-fine-in-australia-over-misleading-cancellation-fee-charges-and-taxi-fare-estimates 
Xinjiang  UN team in China ahead of visit by human rights chief , https://www.theguardian.com/world/2022/apr/26/xinjiang-un-team-in-china-ahead-of-visit-by-human-rights-chief 
Texas  Death row prisoner Melissa Lucio granted stay of execution , https://www.theguardian.com/us-news/2022/apr/25/melissa-lucio-stay-of-execution-texas 
  
            
             Podcast
             
             
             Can Emmanuel Macron reunite France? 
              , https://www.theguardian.com/news/audio/2022/apr/26/can-emmanuel-macron-reunite-france 
   Listen to previous episodes   , https://www.theguardian.com/news/series/todayinfocus 
Russia  How the KGB shaped Putin and his oligarchs , https://www.theguardian.com/world/video/2022/apr/21/how-the-kgb-shaped-putin-and-his-oligarchs-video 
Inside Ukraine’s suburban horror  ‘I have nothing left’ , https://www.theguardian.com/world/video/2022/apr/14/inside-ukraines-suburban-horror-i-have-nothing-left-video 
Made in Middlesbrough  it takes a village , https://www.theguardian.com/uk-news/video/2022/apr/13/made-in-middlesbrough-it-takes-a-village-video 
Made in Bury  Elephant in the Room , https://www.theguardian.com/uk-news/video/2021/oct/21/made-in-bury-elephant-in-the-room-video 
Made in Doncaster  I am not your subject , https://www.theguardian.com/uk-news/video/2021/mar/19/made-in-doncaster-i-am-not-your-subject-video 
'My nerves collapsed'  Ukrainian girl vlogs horror of Mariupol under siege , https://www.theguardian.com/world/video/2022/apr/07/i-had-to-film-it-ukrainian-girl-vlogs-siege-of-mariupol-video-diary 
Life as a refugee in Calais  'The Ukraine war is a wake-up call' , https://www.theguardian.com/global/video/2022/mar/30/life-as-a-refugee-in-calais-the-ukraine-war-is-a-wake-up-call-video 
Video  Why are we burning our recycling? , https://www.theguardian.com/environment/video/2022/mar/24/why-are-we-burning-our-recycling-video 
The last bar in Kyiv  Ukraine's Buena Vista holds on , https://www.theguardian.com/world/video/2022/mar/21/the-last-bar-in-kyiv-ukraines-buena-vista-holds-on-video 
’Humans are all the same’  The Hungarian border village helping Ukraine's refugee families , https://www.theguardian.com/world/video/2022/mar/18/just-a-quiet-place-the-hungarian-border-village-helping-ukraines-refugees-video 
‘Live in the mess that Putin has created’  A tour of Russian oligarch-linked properties in London , https://www.theguardian.com/world/video/2022/mar/17/live-in-the-mess-that-putin-has-created-a-tour-of-russian-oligarch-linked-properties-in-london 
Book of the day  Very Cold People by Sarah Manguso review – a masterclass in unease , https://www.theguardian.com/books/2022/apr/26/very-cold-people-by-sarah-manguso-review 
Two mothers  Disney is refusing to cut LGBTQ scene in Doctor Strange 2, Saudi Arabia says , https://www.theguardian.com/film/2022/apr/26/disney-is-refusing-to-cut-lgbtq-scene-in-doctor-strange-2-saudi-arabia-says 
TV tonight  Malorie Blackman’s Noughts + Crosses is back – with new surprises , https://www.theguardian.com/tv-and-radio/2022/apr/26/tv-tonight-malorie-blackmans-noughts-crosses-is-back-with-new-surprises 
My streaming gem  Why you should watch The Incredible Jessica James , https://www.theguardian.com/film/2022/apr/25/my-streaming-gem-why-you-should-watch-the-incredible-jessica-james 
‘The past is immaterial’  Ry Cooder and Taj Mahal, reunited after 56 years , https://www.theguardian.com/music/2022/apr/25/the-past-is-immaterial-ry-cooder-and-taj-mahal-reunited-after-56-years 
Downton Abbey: A New Era review  Cheerfully risible second helping of snobby melodrama  , https://www.theguardian.com/film/2022/apr/26/downton-abbey-a-new-era-review-cheerfully-risible-second-helping-of-snobby-melodrama 
Severn steps to foraging heaven  A guided tour of the estuary’s edible plants , https://www.theguardian.com/travel/2022/apr/26/foraging-river-severn-estuary-guided-tour-edible-plants 
A barrage of assault, racism and rape jokes  My nightmare trip into the metaverse , https://www.theguardian.com/tv-and-radio/2022/apr/25/a-barrage-of-assault-racism-and-jokes-my-nightmare-trip-into-the-metaverse 
Consumer champions  How can it take Zopa four months to transfer an Isa? , https://www.theguardian.com/money/2022/apr/26/how-can-it-take-zopa-four-months-to-transfer-an-isa 
How we met   
                   
                    
                    I had another date lined up on Tinder, but I realised I wanted to be with Ben , https://www.theguardian.com/lifeandstyle/2022/apr/25/how-we-met-i-had-another-date-lined-up-on-tinder-but-i-realised-i-wanted-to-be-with-ben 
A nosedive in nose jobs  Why fewer people are opting for rhinoplasty , https://www.theguardian.com/fashion/2022/apr/25/a-nosedive-in-nose-jobs-why-fewer-people-are-opting-for-rhinoplasty 
A new start after 60  'I trained to be a flight attendant – it’s the only way I could explore the world’ , https://www.theguardian.com/lifeandstyle/2022/apr/25/a-new-start-after-60-i-trained-to-be-a-flight-attendant-its-the-only-way-i-could-explore-the-world 
Healthcare workers in the UK  What is the situation like where you are? , https://www.theguardian.com/society/2020/dec/31/healthcare-workers-in-the-uk-share-your-experiences-during-the-second-wave-of-coronavirus 
Debt  What is your experience of being in debt? , https://www.theguardian.com/money/2022/apr/25/tell-us-what-is-your-experience-of-being-in-debt 
UK students  Are rising costs affecting your university choices? , https://www.theguardian.com/education/2022/apr/11/uk-students-are-rising-costs-affecting-your-university-choices 
Menopause  Tell us how you have been affected by HRT shortages in the UK , https://www.theguardian.com/society/2022/apr/22/tell-us-how-you-have-been-affected-by-hormone-replacement-therapy-shortages-in-the-uk 
‘It’s looking bleak’  How HRT shortage has affected women in England , https://www.theguardian.com/society/2022/apr/25/hormone-replacement-therapy-hrt-shortage-women-in-england 
‘How did I let her go there?’  Mother laments daughter’s private hospital death , https://www.theguardian.com/society/2022/apr/25/how-did-i-let-her-go-there-mother-laments-daughters-private-hospital-death 
From ‘Legs-it’ to ‘calm down, dear'   Six times UK MPs have faced sexism , https://www.theguardian.com/politics/2022/apr/25/legs-it-calm-down-dear-six-times-uk-mps-faced-sexism-angela-rayner 
Science Weekly  Preventable author Devi Sridhar on how she handles Covid trolls , https://www.theguardian.com/science/audio/2022/apr/26/preventable-author-devi-sridhar-on-how-she-handles-covid-trolls 
Weatherwatch  Severe thunderstorms and rainfall forecast for parts of South America , https://www.theguardian.com/news/2022/apr/26/severe-thunderstorms-and-rainfall-forecast-for-parts-of-south-america 
Analysis  Election schedules could favour compromise on government’s most controversial bills , https://www.theguardian.com/uk-news/2022/apr/25/election-schedules-could-favour-compromise-on-governments-most-controversial-bills 
TechScape  Our weekly guide to the world of technology  , https://www.theguardian.com/info/ng-interactive/2021/jun/25/techscape-sign-up 
Down to Earth  The best way to make sense of the biggest environment stories , https://www.theguardian.com/info/ng-interactive/2021/oct/20/sign-up-for-down-to-earth-the-best-way-to-make-sense-of-the-biggest-environment-stories 
Moving the Goalposts  Sign up for our new women’s football newsletter , https://www.theguardian.com/football/2022/mar/22/sign-up-for-our-new-womens-football-newsletter-moving-the-goalposts 
The Guide  Sign up for a weekly dose of pop culture , https://www.theguardian.com/info/ng-interactive/2021/sep/14/guide-signup 
Mindful nature  Jeffrey Conley’s restorative images  , https://www.theguardian.com/artanddesign/gallery/2022/apr/26/mindful-nature-jeffrey-conleys-restorative-images-in-pictures 
Italy liberation and an Anzac Day celebration  Monday’s best photos , https://www.theguardian.com/news/gallery/2022/apr/25/italy-liberation-and-an-anzac-day-celebration-mondays-best-photos 
Molten steel, an elephant and sandbags for Ukraine  Venice Biennale 2022 , https://www.theguardian.com/artanddesign/gallery/2022/apr/25/molten-steel-an-elephant-and-sandbags-for-ukraine-venice-biennale-2022-in-pictures 
 Tart me up!   The Rolling Stones’ fantastical stage designs  , https://www.theguardian.com/music/gallery/2022/apr/25/tart-me-up-the-rolling-stones-fantastical-stage-designs-in-pictures 
Sierra Leone  A brass band trains , https://www.theguardian.com/world/gallery/2022/apr/25/a-brass-band-trains-in-sierra-leone-in-pictures 
Anzac Day  Dawn service crowds return across Australia , https://www.theguardian.com/news/gallery/2022/apr/25/anzac-day-2022-dawn-service-crowds-return-in-pictures 
  Navalny review – one of the most jaw-dropping things you’ll ever witness , https://www.theguardian.com/tv-and-radio/2022/apr/25/navalny-review-one-of-the-most-jaw-dropping-things-youll-ever-witness 
  Ukrainian refugee left homeless after UK host demanded bill money , https://www.theguardian.com/uk-news/2022/apr/25/ukrainian-refugee-left-homeless-after-uk-host-demanded-bill-money 
  Piers Morgan Uncensored review – a bad Jeremy Clarkson tribute act … with added Trump , https://www.theguardian.com/tv-and-radio/2022/apr/25/piers-morgan-uncensored-review-a-bad-jeremy-clarkson-tribute-act-with-added-trump 
Live  Russia-Ukraine war: Ukraine foreign minister says Moscow ‘senses defeat’; US set to host talks in Germany on arming Kyiv – live , https://www.theguardian.com/world/live/2022/apr/26/russia-ukraine-war-ukraine-foreign-minister-says-moscow-senses-defeat-us-set-to-host-talks-in-germany-on-arming-kyiv-live 
  Elon Musk, world’s richest man, reaches deal to buy Twitter for $44bn , https://www.theguardian.com/technology/2022/apr/25/twitter-elon-musk-buy-takeover-deal-tesla 
  Ministers to assess proposals for making jubilee bank holiday permanent , https://www.theguardian.com/society/2022/apr/26/ministers-to-assess-proposals-for-making-jubilee-bank-holiday-permanent 
  ‘It’s like young love with the brakes off’: Bennifer and the couples who get back together , https://www.theguardian.com/film/2022/apr/26/bennifer-couples-who-get-back-together-ben-affleck-jennifer-lopez 
  Children between three and six ‘victims of self-generated child sexual abuse’ , https://www.theguardian.com/society/2022/apr/26/children-between-three-and-six-victims-of-self-generated-child-sexual-abuse-internet-watch-foundation 
  Civil service head warns PM against forcing Whitehall workers back to office , https://www.theguardian.com/politics/2022/apr/25/civil-service-head-warns-pm-against-forcing-whitehall-workers-back-to-office 
  Sue Gray report to be completed by end of May at earliest, sources say , https://www.theguardian.com/politics/2022/apr/26/sue-gray-report-to-be-completed-by-end-of-may-at-earliest-sources-say 
